TradeName,ScientificName,Matched_Kaggle_Name,Match_Score,Chemical Class,Therapeutic Class,sideEffect,substitute,use,Scientific_clean,Matched_clean,fuzzy_token,Confidence
ASPIRIN ADULT TAB 300MG,ACETYLSALICYLIC ACID,acetyl salicylic acid 50mg tablet,1.746471643447876,Acylsalicylic Acid Derivative,BLOOD RELATED,Heartburn ; Increased bleeding tendency ; Nausea ; Upset stomach ; Vomiting,Cotaspirin 50mg Tablet ; ASA 50mg Tablet ; Delay Release Asprin 50mg Tablet,Prevention of Angina (heart-related chest pain) ; Treatment and prevention of Heart attack ; Treatment and prevention of Stroke,acetylsalicylic acid,acetyl salicylic acid 50mg tablet,64.15094339622642,Medium
ASPIRIN PROTECT 100MG E.C. TABLETS,ACETYLSALICYLIC ACID,acetyl salicylic acid 50mg tablet,1.746471643447876,Acylsalicylic Acid Derivative,BLOOD RELATED,Heartburn ; Increased bleeding tendency ; Nausea ; Upset stomach ; Vomiting,Cotaspirin 50mg Tablet ; ASA 50mg Tablet ; Delay Release Asprin 50mg Tablet,Prevention of Angina (heart-related chest pain) ; Treatment and prevention of Heart attack ; Treatment and prevention of Stroke,acetylsalicylic acid,acetyl salicylic acid 50mg tablet,64.15094339622642,Medium
AZERA 100 mg enteric-coated tablet,ACETYLSALICYLIC ACID,acetyl salicylic acid 50mg tablet,1.746471643447876,Acylsalicylic Acid Derivative,BLOOD RELATED,Heartburn ; Increased bleeding tendency ; Nausea ; Upset stomach ; Vomiting,Cotaspirin 50mg Tablet ; ASA 50mg Tablet ; Delay Release Asprin 50mg Tablet,Prevention of Angina (heart-related chest pain) ; Treatment and prevention of Heart attack ; Treatment and prevention of Stroke,acetylsalicylic acid,acetyl salicylic acid 50mg tablet,64.15094339622642,Medium
DISPRIN,ACETYLSALICYLIC ACID,acetyl salicylic acid 50mg tablet,1.746471643447876,Acylsalicylic Acid Derivative,BLOOD RELATED,Heartburn ; Increased bleeding tendency ; Nausea ; Upset stomach ; Vomiting,Cotaspirin 50mg Tablet ; ASA 50mg Tablet ; Delay Release Asprin 50mg Tablet,Prevention of Angina (heart-related chest pain) ; Treatment and prevention of Heart attack ; Treatment and prevention of Stroke,acetylsalicylic acid,acetyl salicylic acid 50mg tablet,64.15094339622642,Medium
JUSPRIN 81MG ENTERIC COATED TABLETS,ACETYLSALICYLIC ACID,acetyl salicylic acid 50mg tablet,1.746471643447876,Acylsalicylic Acid Derivative,BLOOD RELATED,Heartburn ; Increased bleeding tendency ; Nausea ; Upset stomach ; Vomiting,Cotaspirin 50mg Tablet ; ASA 50mg Tablet ; Delay Release Asprin 50mg Tablet,Prevention of Angina (heart-related chest pain) ; Treatment and prevention of Heart attack ; Treatment and prevention of Stroke,acetylsalicylic acid,acetyl salicylic acid 50mg tablet,64.15094339622642,Medium
ACICLIN 5% CREAM,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ACICLOVIR  250MG/10ML,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ACICLOVIR  500MG/20ML,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ACYCLOVIR JPI 250 mg vial,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ACYCLOVIR JPI 500 mg vial,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
CIVAR 5% W-W CREAM,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
CUSIVIRAL OFTALMICO 3% OINT,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
DBL ACYCLOVIR 250MG-10ML VIAL,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
"DBL ACYCLOVIR I,V 500MG-20ML VIAL",ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
HERPAVIR 5% CREAM,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
IMAVIR 5% CREAM,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
LOVRAK 200 mg suspension,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
LOVRAK 250MG POWDER FOR I.V. INFUSION,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
LOVRAK 5% OINTMENT,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
LOVRAK 5% cream,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
LOVRAK 800 mg tablet,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
MEDVIROX 5% CREAM,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
NOVIRAL 5% CREAM,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
NOVIRAX CREAM 15 GM,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
VIRUSTAT 200MG TAB,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ZOVIRAX,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ZOVIRAX 200MG\5ML SUSP,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ZOVIRAX 250MG IV INFUSION,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ZOVIRAX 3% OPTHALMIC OINTMENT,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ZOVIRAX 800MG-10ML DS SUSP,ACICLOVIR,aciclovir 400 tablet,6.246278762817383,Nucleoside analog,ANTI INFECTIVES,Headache ; Dizziness ; Vomiting ; Nausea ; Fatigue ; Fever ; Stomach pain ; Diarrhea ; Skin rash ; Photophobia,Norbita 400mg Tablet ; Axovir 400mg Tablet ; Cyclopiz 400mg Tablet ; Aciv 400mg Tablet ; Vircyclo 400mg Tablet,Herpes Simplex Virus Infections ; Chickenpox ; Herpes labialis ; Shingles ; Genital herpes infection,aciclovir,aciclovir 400 tablet,62.06896551724138,Medium
ADENOCOR 6MG-2ML VIAL,ADENOSINE,adenosine 3mg injection,5.2793073654174805,Purine nucleosides,CARDIAC,"Flushing (sense of warmth in the face, ears, neck and trunk) ; Dizziness ; Lightheadedness ; Nausea ; Headache ; Numbness ; Chest pain",Adenoject 3mg Injection ; Adenocor 3mg Injection ; Adnet 3mg Injection,Arrhythmia,adenosine,adenosine 3mg injection,56.25,Medium
ADENOHARDT 30MG/10ML SOLUTION FOR INFUSION,ADENOSINE,adenosine 3mg injection,5.2793073654174805,Purine nucleosides,CARDIAC,"Flushing (sense of warmth in the face, ears, neck and trunk) ; Dizziness ; Lightheadedness ; Nausea ; Headache ; Numbness ; Chest pain",Adenoject 3mg Injection ; Adenocor 3mg Injection ; Adnet 3mg Injection,Arrhythmia,adenosine,adenosine 3mg injection,56.25,Medium
ADENOHARDT 6MG/2ML SOLUTION FOR INFUSION,ADENOSINE,adenosine 3mg injection,5.2793073654174805,Purine nucleosides,CARDIAC,"Flushing (sense of warmth in the face, ears, neck and trunk) ; Dizziness ; Lightheadedness ; Nausea ; Headache ; Numbness ; Chest pain",Adenoject 3mg Injection ; Adenocor 3mg Injection ; Adnet 3mg Injection,Arrhythmia,adenosine,adenosine 3mg injection,56.25,Medium
Cardesine 6mg/2ml Solution for Injection,ADENOSINE,adenosine 3mg injection,5.2793073654174805,Purine nucleosides,CARDIAC,"Flushing (sense of warmth in the face, ears, neck and trunk) ; Dizziness ; Lightheadedness ; Nausea ; Headache ; Numbness ; Chest pain",Adenoject 3mg Injection ; Adenocor 3mg Injection ; Adnet 3mg Injection,Arrhythmia,adenosine,adenosine 3mg injection,56.25,Medium
REVARDIA,ADENOSINE,adenosine 3mg injection,5.2793073654174805,Purine nucleosides,CARDIAC,"Flushing (sense of warmth in the face, ears, neck and trunk) ; Dizziness ; Lightheadedness ; Nausea ; Headache ; Numbness ; Chest pain",Adenoject 3mg Injection ; Adenocor 3mg Injection ; Adnet 3mg Injection,Arrhythmia,adenosine,adenosine 3mg injection,56.25,Medium
Xoria,ADENOSINE,adenosine 3mg injection,5.2793073654174805,Purine nucleosides,CARDIAC,"Flushing (sense of warmth in the face, ears, neck and trunk) ; Dizziness ; Lightheadedness ; Nausea ; Headache ; Numbness ; Chest pain",Adenoject 3mg Injection ; Adenocor 3mg Injection ; Adnet 3mg Injection,Arrhythmia,adenosine,adenosine 3mg injection,56.25,Medium
GIOTRIF 20 mg film-coated tablet,AFATINIB,alsatinib tablet,0.4028081595897674,Pyrimidine and Thiazole Derivetive,ANTI NEOPLASTICS,"Abdominal pain ; Anemia (low number of red blood cells) ; Breathing problems ; Fatigue ; Fever ; Headache ; Infection ; Low blood platelets ; Musculoskeletal (bone, muscle or joint) pain ; Nausea ; Rash ; Vomiting",Dasamyl 100mg Tablet ; Daslemia 100 Tablet ; Nextki 100mg Tablet ; Dasafav 100mg Tablet ; Dasamed 100mg Tablet,Blood cancer (Chronic myeloid leukaemia),afatinib,alsatinib tablet,58.33333333333333,Medium
GIOTRIF 30 mg film-coated tablet,AFATINIB,alsatinib tablet,0.4028081595897674,Pyrimidine and Thiazole Derivetive,ANTI NEOPLASTICS,"Abdominal pain ; Anemia (low number of red blood cells) ; Breathing problems ; Fatigue ; Fever ; Headache ; Infection ; Low blood platelets ; Musculoskeletal (bone, muscle or joint) pain ; Nausea ; Rash ; Vomiting",Dasamyl 100mg Tablet ; Daslemia 100 Tablet ; Nextki 100mg Tablet ; Dasafav 100mg Tablet ; Dasamed 100mg Tablet,Blood cancer (Chronic myeloid leukaemia),afatinib,alsatinib tablet,58.33333333333333,Medium
GIOTRIF 40 mg film-coated tablet,AFATINIB,alsatinib tablet,0.4028081595897674,Pyrimidine and Thiazole Derivetive,ANTI NEOPLASTICS,"Abdominal pain ; Anemia (low number of red blood cells) ; Breathing problems ; Fatigue ; Fever ; Headache ; Infection ; Low blood platelets ; Musculoskeletal (bone, muscle or joint) pain ; Nausea ; Rash ; Vomiting",Dasamyl 100mg Tablet ; Daslemia 100 Tablet ; Nextki 100mg Tablet ; Dasafav 100mg Tablet ; Dasamed 100mg Tablet,Blood cancer (Chronic myeloid leukaemia),afatinib,alsatinib tablet,58.33333333333333,Medium
GIOTRIF 50 mg film-coated tablet,AFATINIB,alsatinib tablet,0.4028081595897674,Pyrimidine and Thiazole Derivetive,ANTI NEOPLASTICS,"Abdominal pain ; Anemia (low number of red blood cells) ; Breathing problems ; Fatigue ; Fever ; Headache ; Infection ; Low blood platelets ; Musculoskeletal (bone, muscle or joint) pain ; Nausea ; Rash ; Vomiting",Dasamyl 100mg Tablet ; Daslemia 100 Tablet ; Nextki 100mg Tablet ; Dasafav 100mg Tablet ; Dasamed 100mg Tablet,Blood cancer (Chronic myeloid leukaemia),afatinib,alsatinib tablet,58.33333333333333,Medium
ALBENDA 100MG\5ML SUSP,ALBENDAZOLE,albendazole 400mg tablet,6.71320915222168,2-Benzimidazolylcarbamic acid esters,ANTI INFECTIVES,Vomiting ; Dizziness ; Increased liver enzymes ; Nausea ; Loss of appetite,Olworm 400mg Tablet ; Zeebee Tablet ; Zybend Tablet ; Albekem 400mg Tablet ; Sezole 400mg Tablet,Treatment of Parasitic infections,albendazole,albendazole 400mg tablet,62.857142857142854,Medium
